,Nation,Coverage,Metric,Value,Year
82,Connecticut,Direct-purchase,estimate,443,2023
83,Connecticut,TRICARE,estimate,44,2023
84,Connecticut,Public,estimate,"1,369",2023
85,Connecticut,Medicaid,estimate,804,2023
86,Connecticut,Medicare,estimate,705,2023
87,Connecticut,VA Care,estimate,52,2023
88,Delaware,Total,estimate,"1,018",2023
89,Delaware,Any coverage,estimate,952,2023
90,Delaware,Uninsured,estimate,66,2023
91,Delaware,Private,estimate,704,2023
92,Delaware,Employer-based,estimate,596,2023
93,Delaware,Direct-purchase,estimate,131,2023
94,Delaware,TRICARE,estimate,31,2023
95,Delaware,Public,estimate,421,2023
96,Delaware,Medicaid,estimate,218,2023
97,Delaware,Medicare,estimate,231,2023
98,Delaware,VA Care,estimate,24,2023
99,District of Columbia,Total,estimate,669,2023
100,District of Columbia,Any coverage,estimate,651,2023
101,District of Columbia,Uninsured,estimate,18,2023
102,District of Columbia,Private,estimate,493,2023
103,District of Columbia,Employer-based,estimate,433,2023
104,District of Columbia,Direct-purchase,estimate,77,2023
105,District of Columbia,TRICARE,estimate,13,2023
106,District of Columbia,Public,estimate,225,2023
107,District of Columbia,Medicaid,estimate,163,2023
108,District of Columbia,Medicare,estimate,86,2023
109,District of Columbia,VA Care,estimate,8,2023
110,Florida,Total,estimate,"22,280",2023
111,Florida,Any coverage,estimate,"19,900",2023
112,Florida,Uninsured,estimate,"2,381",2023
113,Florida,Private,estimate,"14,310",2023
114,Florida,Employer-based,estimate,"10,190",2023
115,Florida,Direct-purchase,estimate,"4,250",2023
116,Florida,TRICARE,estimate,848,2023
117,Florida,Public,estimate,"8,352",2023
118,Florida,Medicaid,estimate,"3,955",2023
119,Florida,Medicare,estimate,"5,029",2023
120,Florida,VA Care,estimate,671,2023
121,Georgia,Total,estimate,"10,830",2023
122,Georgia,Any coverage,estimate,"9,599",2023
123,Georgia,Uninsured,estimate,"1,233",2023
124,Georgia,Private,estimate,"7,178",2023
125,Georgia,Employer-based,estimate,"5,741",2023
126,Georgia,Direct-purchase,estimate,"1,545",2023
127,Georgia,TRICARE,estimate,448,2023
128,Georgia,Public,estimate,"3,630",2023
129,Georgia,Medicaid,estimate,"2,036",2023
130,Georgia,Medicare,estimate,"1,822",2023
131,Georgia,VA Care,estimate,294,2023
132,Hawaii,Total,estimate,"1,378",2023
133,Hawaii,Any coverage,estimate,"1,334",2023
134,Hawaii,Uninsured,estimate,44,2023
135,Hawaii,Private,estimate,"1,037",2023
136,Hawaii,Employer-based,estimate,848,2023
137,Hawaii,Direct-purchase,estimate,187,2023
138,Hawaii,TRICARE,estimate,108,2023
139,Hawaii,Public,estimate,555,2023
140,Hawaii,Medicaid,estimate,281,2023
141,Hawaii,Medicare,estimate,300,2023
142,Hawaii,VA Care,estimate,39,2023
143,Idaho,Total,estimate,"1,938",2023
144,Idaho,Any coverage,estimate,"1,766",2023
145,Idaho,Uninsured,estimate,172,2023
146,Idaho,Private,estimate,"1,333",2023
147,Idaho,Employer-based,estimate,"1,044",2023
148,Idaho,Direct-purchase,estimate,303,2023
149,Idaho,TRICARE,estimate,66,2023
150,Idaho,Public,estimate,693,2023
151,Idaho,Medicaid,estimate,358,2023
152,Idaho,Medicare,estimate,361,2023
153,Idaho,VA Care,estimate,52,2023
154,Illinois,Total,estimate,"12,380",2023
155,Illinois,Any coverage,estimate,"11,620",2023
156,Illinois,Uninsured,estimate,763,2023
157,Illinois,Private,estimate,"8,625",2023
158,Illinois,Employer-based,estimate,"7,362",2023
159,Illinois,Direct-purchase,estimate,"1,563",2023
160,Illinois,TRICARE,estimate,140,2023
161,Illinois,Public,estimate,"4,408",2023
162,Illinois,Medicaid,estimate,"2,461",2023
163,Illinois,Medicare,estimate,"2,245",2023
164,Illinois,VA Care,estimate,184,2023
165,Indiana,Total,estimate,"6,764",2023
166,Indiana,Any coverage,estimate,"6,301",2023
167,Indiana,Uninsured,estimate,464,2023
168,Indiana,Private,estimate,"4,587",2023
169,Indiana,Employer-based,estimate,"3,867",2023
170,Indiana,Direct-purchase,estimate,855,2023
171,Indiana,TRICARE,estimate,111,2023
172,Indiana,Public,estimate,"2,527",2023
173,Indiana,Medicaid,estimate,"1,430",2023
174,Indiana,Medicare,estimate,"1,260",2023
175,Indiana,VA Care,estimate,145,2023
176,Iowa,Total,estimate,"3,162",2023
177,Iowa,Any coverage,estimate,"3,003",2023
178,Iowa,Uninsured,estimate,159,2023
179,Iowa,Private,estimate,"2,270",2023
180,Iowa,Employer-based,estimate,"1,842",2023
181,Iowa,Direct-purchase,estimate,501,2023
182,Iowa,TRICARE,estimate,59,2023
183,Iowa,Public,estimate,"1,195",2023
184,Iowa,Medicaid,estimate,650,2023
185,Iowa,Medicare,estimate,617,2023
186,Iowa,VA Care,estimate,73,2023
187,Kansas,Total,estimate,"2,877",2023
188,Kansas,Any coverage,estimate,"2,636",2023
189,Kansas,Uninsured,estimate,240,2023
190,Kansas,Private,estimate,"2,107",2023
191,Kansas,Employer-based,estimate,"1,670",2023
192,Kansas,Direct-purchase,estimate,479,2023
193,Kansas,TRICARE,estimate,108,2023
194,Kansas,Public,estimate,911,2023
195,Kansas,Medicaid,estimate,421,2023
196,Kansas,Medicare,estimate,534,2023
197,Kansas,VA Care,estimate,69,2023
198,Kentucky,Total,estimate,"4,442",2023
199,Kentucky,Any coverage,estimate,"4,201",2023
200,Kentucky,Uninsured,estimate,241,2023
201,Kentucky,Private,estimate,"2,788",2023
202,Kentucky,Employer-based,estimate,"2,347",2023
203,Kentucky,Direct-purchase,estimate,512,2023
204,Kentucky,TRICARE,estimate,122,2023
205,Kentucky,Public,estimate,"2,006",2023
206,Kentucky,Medicaid,estimate,"1,244",2023
207,Kentucky,Medicare,estimate,899,2023
208,Kentucky,VA Care,estimate,114,2023
209,Louisiana,Total,estimate,"4,478",2023
210,Louisiana,Any coverage,estimate,"4,168",2023
211,Louisiana,Uninsured,estimate,310,2023
212,Louisiana,Private,estimate,"2,583",2023
213,Louisiana,Employer-based,estimate,"2,120",2023
214,Louisiana,Direct-purchase,estimate,543,2023
215,Louisiana,TRICARE,estimate,120,2023
216,Louisiana,Public,estimate,"2,146",2023
217,Louisiana,Medicaid,estimate,"1,449",2023
218,Louisiana,Medicare,estimate,879,2023
219,Louisiana,VA Care,estimate,101,2023
220,Maine,Total,estimate,"1,378",2023
221,Maine,Any coverage,estimate,"1,297",2023
222,Maine,Uninsured,estimate,81,2023
223,Maine,Private,estimate,930,2023
224,Maine,Employer-based,estimate,737,2023
225,Maine,Direct-purchase,estimate,211,2023
226,Maine,TRICARE,estimate,42,2023
227,Maine,Public,estimate,577,2023
228,Maine,Medicaid,estimate,293,2023
229,Maine,Medicare,estimate,341,2023
230,Maine,VA Care,estimate,47,2023
231,Maryland,Total,estimate,"6,087",2023
232,Maryland,Any coverage,estimate,"5,706",2023
233,Maryland,Uninsured,estimate,381,2023
234,Maryland,Private,estimate,"4,451",2023
235,Maryland,Employer-based,estimate,"3,765",2023
236,Maryland,Direct-purchase,estimate,812,2023
237,Maryland,TRICARE,estimate,220,2023
238,Maryland,Public,estimate,"2,108",2023
239,Maryland,Medicaid,estimate,"1,162",2023
240,Maryland,Medicare,estimate,"1,078",2023
241,Maryland,VA Care,estimate,124,2023
242,Massachusetts,Total,estimate,"6,934",2023
243,Massachusetts,Any coverage,estimate,"6,755",2023
244,Massachusetts,Uninsured,estimate,179,2023
245,Massachusetts,Private,estimate,"5,071",2023
246,Massachusetts,Employer-based,estimate,"4,314",2023
247,Massachusetts,Direct-purchase,estimate,958,2023
248,Massachusetts,TRICARE,estimate,83,2023
249,Massachusetts,Public,estimate,"2,632",2023
250,Massachusetts,Medicaid,estimate,"1,623",2023
251,Massachusetts,Medicare,estimate,"1,296",2023
252,Massachusetts,VA Care,estimate,98,2023
253,Michigan,Total,estimate,"9,932",2023
254,Michigan,Any coverage,estimate,"9,483",2023
255,Michigan,Uninsured,estimate,448,2023
256,Michigan,Private,estimate,"6,940",2023
257,Michigan,Employer-based,estimate,"5,931",2023
258,Michigan,Direct-purchase,estimate,"1,261",2023
259,Michigan,TRICARE,estimate,134,2023
260,Michigan,Public,estimate,"4,106",2023
261,Michigan,Medicaid,estimate,"2,369",2023
262,Michigan,Medicare,estimate,"2,078",2023
263,Michigan,VA Care,estimate,182,2023
264,Minnesota,Total,estimate,"5,678",2023
265,Minnesota,Any coverage,estimate,"5,440",2023
266,Minnesota,Uninsured,estimate,238,2023
267,Minnesota,Private,estimate,"4,260",2023
268,Minnesota,Employer-based,estimate,"3,496",2023
269,Minnesota,Direct-purchase,estimate,907,2023
270,Minnesota,TRICARE,estimate,84,2023
271,Minnesota,Public,estimate,"1,992",2023
272,Minnesota,Medicaid,estimate,"1,047",2023
273,Minnesota,Medicare,estimate,"1,038",2023
274,Minnesota,VA Care,estimate,128,2023
275,Mississippi,Total,estimate,"2,874",2023
276,Mississippi,Any coverage,estimate,"2,577",2023
277,Mississippi,Uninsured,estimate,297,2023
278,Mississippi,Private,estimate,"1,784",2023
279,Mississippi,Employer-based,estimate,"1,360",2023
280,Mississippi,Direct-purchase,estimate,461,2023
281,Mississippi,TRICARE,estimate,115,2023
282,Mississippi,Public,estimate,"1,151",2023
283,Mississippi,Medicaid,estimate,676,2023
284,Mississippi,Medicare,estimate,583,2023
285,Mississippi,VA Care,estimate,86,2023
286,Missouri,Total,estimate,"6,095",2023
287,Missouri,Any coverage,estimate,"5,636",2023
288,Missouri,Uninsured,estimate,458,2023
289,Missouri,Private,estimate,"4,167",2023
290,Missouri,Employer-based,estimate,"3,445",2023
291,Missouri,Direct-purchase,estimate,802,2023
292,Missouri,TRICARE,estimate,169,2023
293,Missouri,Public,estimate,"2,195",2023
294,Missouri,Medicaid,estimate,"1,077",2023
295,Missouri,Medicare,estimate,"1,222",2023
296,Missouri,VA Care,estimate,169,2023
297,Montana,Total,estimate,"1,115",2023
298,Montana,Any coverage,estimate,"1,021",2023
299,Montana,Uninsured,estimate,94,2023
300,Montana,Private,estimate,729,2023
301,Montana,Employer-based,estimate,542,2023
302,Montana,Direct-purchase,estimate,196,2023
303,Montana,TRICARE,estimate,45,2023
304,Montana,Public,estimate,459,2023
305,Montana,Medicaid,estimate,235,2023
306,Montana,Medicare,estimate,238,2023
307,Montana,VA Care,estimate,43,2023
308,Nebraska,Total,estimate,"1,952",2023
309,Nebraska,Any coverage,estimate,"1,832",2023
310,Nebraska,Uninsured,estimate,119,2023
311,Nebraska,Private,estimate,"1,445",2023
312,Nebraska,Employer-based,estimate,"1,147",2023
313,Nebraska,Direct-purchase,estimate,326,2023
314,Nebraska,TRICARE,estimate,58,2023
315,Nebraska,Public,estimate,637,2023
316,Nebraska,Medicaid,estimate,321,2023
317,Nebraska,Medicare,estimate,352,2023
318,Nebraska,VA Care,estimate,52,2023
319,Nevada,Total,estimate,"3,154",2023
320,Nevada,Any coverage,estimate,"2,813",2023
321,Nevada,Uninsured,estimate,341,2023
322,Nevada,Private,estimate,"2,021",2023
323,Nevada,Employer-based,estimate,"1,677",2023
324,Nevada,Direct-purchase,estimate,389,2023
325,Nevada,TRICARE,estimate,121,2023
326,Nevada,Public,estimate,"1,180",2023
327,Nevada,Medicaid,estimate,655,2023
328,Nevada,Medicare,estimate,576,2023
329,Nevada,VA Care,estimate,101,2023
330,New Hampshire,Total,estimate,"1,386",2023
331,New Hampshire,Any coverage,estimate,"1,320",2023
332,New Hampshire,Uninsured,estimate,66,2023
333,New Hampshire,Private,estimate,"1,052",2023
334,New Hampshire,Employer-based,estimate,864,2023
335,New Hampshire,Direct-purchase,estimate,220,2023
336,New Hampshire,TRICARE,estimate,27,2023
337,New Hampshire,Public,estimate,462,2023
338,New Hampshire,Medicaid,estimate,183,2023
339,New Hampshire,Medicare,estimate,300,2023
340,New Hampshire,VA Care,estimate,33,2023
341,New Jersey,Total,estimate,"9,204",2023
342,New Jersey,Any coverage,estimate,"8,542",2023
343,New Jersey,Uninsured,estimate,662,2023
344,New Jersey,Private,estimate,"6,454",2023
345,New Jersey,Employer-based,estimate,"5,546",2023
346,New Jersey,Direct-purchase,estimate,"1,127",2023
347,New Jersey,TRICARE,estimate,78,2023
348,New Jersey,Public,estimate,"3,140",2023
349,New Jersey,Medicaid,estimate,"1,734",2023
350,New Jersey,Medicare,estimate,"1,651",2023
351,New Jersey,VA Care,estimate,88,2023
352,New Mexico,Total,estimate,"2,076",2023
353,New Mexico,Any coverage,estimate,"1,888",2023
354,New Mexico,Uninsured,estimate,189,2023
355,New Mexico,Private,estimate,"1,122",2023
356,New Mexico,Employer-based,estimate,897,2023
357,New Mexico,Direct-purchase,estimate,240,2023
358,New Mexico,TRICARE,estimate,89,2023
359,New Mexico,Public,estimate,"1,084",2023
360,New Mexico,Medicaid,estimate,710,2023
361,New Mexico,Medicare,estimate,457,2023
362,New Mexico,VA Care,estimate,65,2023
363,New York,Total,estimate,"19,370",2023
364,New York,Any coverage,estimate,"18,430",2023
365,New York,Uninsured,estimate,938,2023
366,New York,Private,estimate,"12,620",2023
367,New York,Employer-based,estimate,"10,630",2023
368,New York,Direct-purchase,estimate,"2,563",2023
369,New York,TRICARE,estimate,178,2023
370,New York,Public,estimate,"8,394",2023
371,New York,Medicaid,estimate,"5,574",2023
372,New York,Medicare,estimate,"3,806",2023
373,New York,VA Care,estimate,239,2023
374,North Carolina,Total,estimate,"10,620",2023
375,North Carolina,Any coverage,estimate,"9,643",2023
376,North Carolina,Uninsured,estimate,981,2023
377,North Carolina,Private,estimate,"7,148",2023
378,North Carolina,Employer-based,estimate,"5,574",2023
379,North Carolina,Direct-purchase,estimate,"1,626",2023
380,North Carolina,TRICARE,estimate,502,2023
381,North Carolina,Public,estimate,"3,871",2023
382,North Carolina,Medicaid,estimate,"2,031",2023
383,North Carolina,Medicare,estimate,"2,064",2023
384,North Carolina,VA Care,estimate,307,2023
385,North Dakota,Total,estimate,764,2023
386,North Dakota,Any coverage,estimate,729,2023
387,North Dakota,Uninsured,estimate,34,2023
388,North Dakota,Private,estimate,617,2023
389,North Dakota,Employer-based,estimate,483,2023
390,North Dakota,Direct-purchase,estimate,142,2023
391,North Dakota,TRICARE,estimate,36,2023
392,North Dakota,Public,estimate,224,2023
393,North Dakota,Medicaid,estimate,97,2023
394,North Dakota,Medicare,estimate,134,2023
395,North Dakota,VA Care,estimate,22,2023
396,Ohio,Total,estimate,"11,620",2023
397,Ohio,Any coverage,estimate,"10,900",2023
398,Ohio,Uninsured,estimate,713,2023
399,Ohio,Private,estimate,"7,816",2023
400,Ohio,Employer-based,estimate,"6,668",2023
401,Ohio,Direct-purchase,estimate,"1,395",2023
402,Ohio,TRICARE,estimate,206,2023
403,Ohio,Public,estimate,"4,557",2023
404,Ohio,Medicaid,estimate,"2,508",2023
405,Ohio,Medicare,estimate,"2,329",2023
406,Ohio,VA Care,estimate,264,2023
407,Oklahoma,Total,estimate,"3,967",2023
408,Oklahoma,Any coverage,estimate,"3,517",2023
409,Oklahoma,Uninsured,estimate,450,2023
410,Oklahoma,Private,estimate,"2,441",2023
411,Oklahoma,Employer-based,estimate,"1,944",2023
412,Oklahoma,Direct-purchase,estimate,526,2023
413,Oklahoma,TRICARE,estimate,165,2023
414,Oklahoma,Public,estimate,"1,599",2023
415,Oklahoma,Medicaid,estimate,915,2023
416,Oklahoma,Medicare,estimate,745,2023
417,Oklahoma,VA Care,estimate,136,2023
418,Oregon,Total,estimate,"4,193",2023
419,Oregon,Any coverage,estimate,"3,963",2023
420,Oregon,Uninsured,estimate,230,2023
421,Oregon,Private,estimate,"2,805",2023
422,Oregon,Employer-based,estimate,"2,288",2023
423,Oregon,Direct-purchase,estimate,595,2023
424,Oregon,TRICARE,estimate,87,2023
425,Oregon,Public,estimate,"1,738",2023
426,Oregon,Medicaid,estimate,"1,000",2023
427,Oregon,Medicare,estimate,868,2023
428,Oregon,VA Care,estimate,111,2023
429,Pennsylvania,Total,estimate,"12,780",2023
430,Pennsylvania,Any coverage,estimate,"12,090",2023
431,Pennsylvania,Uninsured,estimate,692,2023
432,Pennsylvania,Private,estimate,"8,962",2023
433,Pennsylvania,Employer-based,estimate,"7,390",2023
434,Pennsylvania,Direct-purchase,estimate,"1,922",2023
435,Pennsylvania,TRICARE,estimate,189,2023
436,Pennsylvania,Public,estimate,"5,047",2023
437,Pennsylvania,Medicaid,estimate,"2,747",2023
438,Pennsylvania,Medicare,estimate,"2,706",2023
439,Pennsylvania,VA Care,estimate,246,2023
440,Rhode Island,Total,estimate,"1,080",2023
441,Rhode Island,Any coverage,estimate,"1,031",2023
442,Rhode Island,Uninsured,estimate,48,2023
443,Rhode Island,Private,estimate,761,2023
444,Rhode Island,Employer-based,estimate,626,2023
445,Rhode Island,Direct-purchase,estimate,177,2023
446,Rhode Island,TRICARE,estimate,23,2023
447,Rhode Island,Public,estimate,419,2023
448,Rhode Island,Medicaid,estimate,241,2023
449,Rhode Island,Medicare,estimate,224,2023
450,Rhode Island,VA Care,estimate,18,2023
451,South Carolina,Total,estimate,"5,276",2023
452,South Carolina,Any coverage,estimate,"4,796",2023
453,South Carolina,Uninsured,estimate,480,2023
454,South Carolina,Private,estimate,"3,523",2023
455,South Carolina,Employer-based,estimate,"2,705",2023
456,South Carolina,Direct-purchase,estimate,861,2023
457,South Carolina,TRICARE,estimate,274,2023
458,South Carolina,Public,estimate,"2,063",2023
459,South Carolina,Medicaid,estimate,"1,056",2023
460,South Carolina,Medicare,estimate,"1,128",2023
461,South Carolina,VA Care,estimate,176,2023
462,South Dakota,Total,estimate,900,2023
463,South Dakota,Any coverage,estimate,826,2023
464,South Dakota,Uninsured,estimate,74,2023
465,South Dakota,Private,estimate,660,2023
466,South Dakota,Employer-based,estimate,502,2023
467,South Dakota,Direct-purchase,estimate,166,2023
468,South Dakota,TRICARE,estimate,34,2023
469,South Dakota,Public,estimate,291,2023
470,South Dakota,Medicaid,estimate,132,2023
471,South Dakota,Medicare,estimate,173,2023
472,South Dakota,VA Care,estimate,32,2023
473,Tennessee,Total,estimate,"7,033",2023
474,Tennessee,Any coverage,estimate,"6,379",2023
475,Tennessee,Uninsured,estimate,654,2023
476,Tennessee,Private,estimate,"4,660",2023
477,Tennessee,Employer-based,estimate,"3,703",2023
478,Tennessee,Direct-purchase,estimate,"1,015",2023
479,Tennessee,TRICARE,estimate,242,2023
480,Tennessee,Public,estimate,"2,597",2023
481,Tennessee,Medicaid,estimate,"1,400",2023
482,Tennessee,Medicare,estimate,"1,362",2023
483,Tennessee,VA Care,estimate,186,2023
484,Texas,Total,estimate,"30,020",2023
485,Texas,Any coverage,estimate,"25,100",2023
486,Texas,Uninsured,estimate,"4,917",2023
487,Texas,Private,estimate,"19,020",2023
488,Texas,Employer-based,estimate,"15,460",2023
489,Texas,Direct-purchase,estimate,"3,835",2023
490,Texas,TRICARE,estimate,949,2023
491,Texas,Public,estimate,"8,806",2023
492,Texas,Medicaid,estimate,"4,864",2023
493,Texas,Medicare,estimate,"4,350",2023
494,Texas,VA Care,estimate,696,2023
495,Utah,Total,estimate,"3,391",2023
496,Utah,Any coverage,estimate,"3,121",2023
497,Utah,Uninsured,estimate,270,2023
498,Utah,Private,estimate,"2,649",2023
499,Utah,Employer-based,estimate,"2,182",2023
500,Utah,Direct-purchase,estimate,514,2023
501,Utah,TRICARE,estimate,83,2023
502,Utah,Public,estimate,765,2023
503,Utah,Medicaid,estimate,380,2023
504,Utah,Medicare,estimate,426,2023
505,Utah,VA Care,estimate,49,2023
506,Vermont,Total,estimate,642,2023
507,Vermont,Any coverage,estimate,620,2023
508,Vermont,Uninsured,estimate,22,2023
509,Vermont,Private,estimate,449,2023
510,Vermont,Employer-based,estimate,361,2023
511,Vermont,Direct-purchase,estimate,102,2023
512,Vermont,TRICARE,estimate,13,2023
513,Vermont,Public,estimate,271,2023
514,Vermont,Medicaid,estimate,144,2023
515,Vermont,Medicare,estimate,152,2023
516,Vermont,VA Care,estimate,15,2023
517,Virginia,Total,estimate,"8,489",2023
518,Virginia,Any coverage,estimate,"7,946",2023
519,Virginia,Uninsured,estimate,543,2023
520,Virginia,Private,estimate,"6,177",2023
521,Virginia,Employer-based,estimate,"4,936",2023
522,Virginia,Direct-purchase,estimate,"1,119",2023
523,Virginia,TRICARE,estimate,663,2023
524,Virginia,Public,estimate,"2,964",2023
525,Virginia,Medicaid,estimate,"1,448",2023
526,Virginia,Medicare,estimate,"1,555",2023
527,Virginia,VA Care,estimate,296,2023
528,Washington,Total,estimate,"7,694",2023
529,Washington,Any coverage,estimate,"7,213",2023
530,Washington,Uninsured,estimate,481,2023
531,Washington,Private,estimate,"5,401",2023
532,Washington,Employer-based,estimate,"4,492",2023
533,Washington,Direct-purchase,estimate,964,2023
534,Washington,TRICARE,estimate,292,2023
535,Washington,Public,estimate,"2,809",2023
536,Washington,Medicaid,estimate,"1,588",2023
537,Washington,Medicare,estimate,"1,371",2023
538,Washington,VA Care,estimate,184,2023
539,West Virginia,Total,estimate,"1,736",2023
540,West Virginia,Any coverage,estimate,"1,633",2023
541,West Virginia,Uninsured,estimate,103,2023
542,West Virginia,Private,estimate,"1,099",2023
543,West Virginia,Employer-based,estimate,940,2023
544,West Virginia,Direct-purchase,estimate,199,2023
545,West Virginia,TRICARE,estimate,44,2023
546,West Virginia,Public,estimate,821,2023
547,West Virginia,Medicaid,estimate,459,2023
548,West Virginia,Medicare,estimate,425,2023
549,West Virginia,VA Care,estimate,59,2023
550,Wisconsin,Total,estimate,"5,851",2023
551,Wisconsin,Any coverage,estimate,"5,567",2023
552,Wisconsin,Uninsured,estimate,284,2023
553,Wisconsin,Private,estimate,"4,259",2023
554,Wisconsin,Employer-based,estimate,"3,513",2023
555,Wisconsin,Direct-purchase,estimate,889,2023
556,Wisconsin,TRICARE,estimate,87,2023
557,Wisconsin,Public,estimate,"2,106",2023
558,Wisconsin,Medicaid,estimate,"1,082",2023
559,Wisconsin,Medicare,estimate,"1,181",2023
560,Wisconsin,VA Care,estimate,121,2023
561,Wyoming,Total,estimate,574,2023
562,Wyoming,Any coverage,estimate,513,2023
563,Wyoming,Uninsured,estimate,61,2023
564,Wyoming,Private,estimate,407,2023
565,Wyoming,Employer-based,estimate,310,2023
566,Wyoming,Direct-purchase,estimate,104,2023
567,Wyoming,TRICARE,estimate,23,2023
568,Wyoming,Public,estimate,190,2023
569,Wyoming,Medicaid,estimate,79,2023
570,Wyoming,Medicare,estimate,117,2023
571,Wyoming,VA Care,estimate,20,2023
583,Alabama,Total,MOError1,2,2023
584,Alabama,Any coverage,MOError1,13,2023
585,Alabama,Uninsured,MOError1,14,2023
586,Alabama,Private,MOError1,25,2023
587,Alabama,Employer-based,MOError1,28,2023
588,Alabama,Direct-purchase,MOError1,18,2023
589,Alabama,TRICARE,MOError1,13,2023
590,Alabama,Public,MOError1,22,2023
591,Alabama,Medicaid,MOError1,22,2023
592,Alabama,Medicare,MOError1,10,2023
593,Alabama,VA Care,MOError1,7,2023
594,Alaska,Total,MOError1,3,2023
595,Alaska,Any coverage,MOError1,5,2023
596,Alaska,Uninsured,MOError1,5,2023
597,Alaska,Private,MOError1,9,2023
598,Alaska,Employer-based,MOError1,11,2023
599,Alaska,Direct-purchase,MOError1,5,2023
600,Alaska,TRICARE,MOError1,6,2023
601,Alaska,Public,MOError1,9,2023
602,Alaska,Medicaid,MOError1,9,2023
603,Alaska,Medicare,MOError1,2,2023
604,Alaska,VA Care,MOError1,3,2023
605,Arizona,Total,MOError1,4,2023
606,Arizona,Any coverage,MOError1,26,2023
607,Arizona,Uninsured,MOError1,25,2023
608,Arizona,Private,MOError1,39,2023
609,Arizona,Employer-based,MOError1,42,2023
610,Arizona,Direct-purchase,MOError1,23,2023
611,Arizona,TRICARE,MOError1,12,2023
612,Arizona,Public,MOError1,31,2023
613,Arizona,Medicaid,MOError1,35,2023
614,Arizona,Medicare,MOError1,8,2023
615,Arizona,VA Care,MOError1,8,2023
616,Arkansas,Total,MOError1,1,2023
617,Arkansas,Any coverage,MOError1,13,2023
618,Arkansas,Uninsured,MOError1,13,2023
619,Arkansas,Private,MOError1,22,2023
620,Arkansas,Employer-based,MOError1,20,2023
621,Arkansas,Direct-purchase,MOError1,14,2023
622,Arkansas,TRICARE,MOError1,8,2023
623,Arkansas,Public,MOError1,19,2023
624,Arkansas,Medicaid,MOError1,20,2023
625,Arkansas,Medicare,MOError1,6,2023
626,Arkansas,VA Care,MOError1,5,2023
627,California,Total,MOError1,7,2023
628,California,Any coverage,MOError1,39,2023
